,max_abs_r,n_significant,profile_variance,profile_range,max_abs_r_norm,n_sig_norm,var_norm,composite_score
Roseburia_sp_CAG_309,0.122209903985785,2,0.001309939159598929,0.1549284968614271,0.32129096420089304,0.16666666666666666,0.12195030532072068,0.21733729534387072
Collinsella_aerofaciens,0.107359424052058,2,0.0019238099211825257,0.1938157768885045,0.28224891555229786,0.16666666666666666,0.17909931583316596,0.21600772851254396
Firmicutes_bacterium_CAG_170,0.102403437275483,2,0.002004794758834149,0.16873872503259718,0.2692195806286908,0.16666666666666666,0.18663869321996632,0.21268083888980122
Ruminococcus_bromii,0.111251687166054,2,0.0014735335776428894,0.1898574270606533,0.29248171116078475,0.16666666666666666,0.13718031740413292,0.20962109714868046
Fretibacterium_fastidiosum,0.0884255808164977,3,0.0012389131777804767,0.1504505429433822,0.23247166713968717,0.25,0.1153380591679175,0.20932318164785424
Streptococcus_mitis,0.0987531022825917,2,0.001967757053012946,0.1715793079593721,0.2596228162808624,0.16666666666666666,0.1831906250404811,0.20798011610579858
Collinsella_stercoris,0.0939820750483517,2,0.0021408217494521967,0.17223438568787758,0.2470797416991494,0.16666666666666666,0.1993022836746625,0.20699080093165872
Coprococcus_comes,0.10339496195624,2,0.0017031813577539543,0.198832002218855,0.27182630815501674,0.16666666666666666,0.15855964383738858,0.20670376755468717
Veillonella_parvula,0.0899757345184431,2,0.002179416980349921,0.15403984243029512,0.23654703551257739,0.16666666666666666,0.20289535145755272,0.20367598540275245
Lachnospira_pectinoschiza,0.0943959494633987,2,0.0019627854380559594,0.1453219495642778,0.24816782135171175,0.16666666666666666,0.18272778678001772,0.20328240856902247
Bacteroides_caccae,0.0900227279547857,2,0.00206263664071738,0.16764082379872391,0.23667058168994273,0.16666666666666666,0.19202355029847734,0.20100745358392974
Bacteroides_galacturonicus,0.0943574952405811,2,0.0018665550322734686,0.1651231881326814,0.2480667248454245,0.16666666666666666,0.1737691055463758,0.20100229965809707
Hungatella_hathewayi,0.0957553712458588,2,0.001712953683143744,0.1454547299516916,0.2517417537499657,0.16666666666666666,0.15946940980342258,0.19889738728417528
Gemella_sanguinis,0.0936000482423773,2,0.0017616054325658313,0.1561736088232185,0.24607538970443402,0.16666666666666666,0.163998700841815,0.1977631644255607
Phascolarctobacterium_faecium,0.118887308865463,1,0.0018661397213383803,0.1828288512573177,0.31255583099940054,0.08333333333333333,0.17373044169319918,0.19762160948972668
Parabacteroides_goldsteinii,0.130778454884612,1,0.001319964747057443,0.1710715647245107,0.34381776350521764,0.08333333333333333,0.12288364901277404,0.19741468432194725
